,secID,ticker,exchangeCD,ListSectorCD,ListSector,transCurrCD,secShortName,secFullName,listStatusCD,listDate,delistDate,equTypeCD,equType,exCountryCD,partyID,totalShares,nonrestFloatShares,nonrestfloatA,officeAddr,primeOperating,endDate,TShEquity
988,002479.XSHE,002479,XSHE,3,中小板,CNY,富春环保,浙江富春江环保热电股份有限公司,L,2010-09-21,,A,沪深A股,CHN,38272,796350000.0,727773200.0,727773200.0,浙江省杭州市富阳区灵桥镇春永路188号,"电力、热蒸汽供应,煤炭贸易。",2017-03-31,3027581242.62
989,002480.XSHE,002480,XSHE,3,中小板,CNY,新筑股份,成都市新筑路桥机械股份有限公司,L,2010-09-21,,A,沪深A股,CHN,38278,645368300.0,625639300.0,625639300.0,四川省成都市四川新津工业园区,桥梁支座、桥梁伸缩装置、预应力锚具等公路、铁路桥梁功能部件的研发、设计、生产、销售和服务。公司还从事路面施工和养护设备(包括摊铺机、挖掘机等)、混凝土机械等产品的研发、生产、销售和服务。,2017-03-31,2397140761.6
990,002481.XSHE,002481,XSHE,3,中小板,CNY,双塔食品,烟台双塔食品股份有限公司,L,2010-09-21,,A,沪深A股,CHN,38307,1263390000.0,1133367500.0,1133367500.0,山东省招远市金岭镇寨里,"粉丝的生产和销售,同时还从事食用菌类产品的加工和贸易。",2017-03-31,2629596421.49
991,002482.XSHE,002482,XSHE,3,中小板,CNY,广田集团,深圳广田集团股份有限公司,L,2010-09-29,,A,沪深A股,CHN,38362,1537279700.0,1310180100.0,1310180100.0,广东省深圳市罗湖区深南东路2098号广田集团大厦,建筑装饰的施工与设计。,2017-03-31,6350240187.06
992,002483.XSHE,002483,XSHE,3,中小板,CNY,润邦股份,江苏润邦重工股份有限公司,L,2010-09-29,,A,沪深A股,CHN,38658,672447800.0,574782400.0,574782400.0,江苏省南通市经济技术开发区振兴西路9号,起重装备、船舶配套装备、海洋工程装备、立体停车设备等产品的设计、制造、销售及服务。,2017-03-31,2825075674.78
993,002484.XSHE,002484,XSHE,3,中小板,CNY,江海股份,南通江海电容器股份有限公司,L,2010-09-29,,A,沪深A股,CHN,38032,815155400.0,637950500.0,637950500.0,江苏省南通市通州区平潮镇通扬南路79号,电容器及其材料、配件的研发、生产和销售。,2017-03-31,3110610494.26
994,002485.XSHE,002485,XSHE,3,中小板,CNY,希努尔,希努尔男装股份有限公司,L,2010-10-15,,A,沪深A股,CHN,38361,320000000.0,319992800.0,319992800.0,山东省诸城市东环路58号,"自制生产为主、委托加工生产为辅,以直营店和特许加盟店为主、团体订购、贴牌和网上直销为有效补充的生产和销售模式,设计、生产和销售希努尔品牌的西装、衬衫及其它服饰类产品",2017-03-31,1963474736.61
995,002486.XSHE,002486,XSHE,3,中小板,CNY,嘉麟杰,上海嘉麟杰纺织品股份有限公司,L,2010-10-15,,A,沪深A股,CHN,38352,832000000.0,806650000.0,806650000.0,上海市金山区亭林镇亭枫公路1918号,"主要从事高端针织面料的生产和销售,兼营针织面料成衣的生产和销售。",2017-03-31,911562591.53
996,002487.XSHE,002487,XSHE,3,中小板,CNY,大金重工,辽宁大金重工股份有限公司,L,2010-10-15,,A,沪深A股,CHN,38490,540000000.0,540000000.0,540000000.0,辽宁省阜新市新邱区新邱大街155号,风电塔架、火电锅炉钢结构生产和销售。,2017-03-31,1707194458.44
997,002488.XSHE,002488,XSHE,3,中小板,CNY,金固股份,浙江金固股份有限公司,L,2010-10-21,,A,沪深A股,CHN,38410,671822800.0,384983200.0,384983200.0,浙江省杭州市富阳区富春街道公园西路1181号,汽车钢制车轮的研发、制造、销售。,2017-03-31,1407244786.53
998,002489.XSHE,002489,XSHE,3,中小板,CNY,浙江永强,浙江永强集团股份有限公司,L,2010-10-21,,A,沪深A股,CHN,34833,2175736500.0,1873810800.0,1873810800.0,浙江省临海市前江南路1号,研究开发、设计、生产、销售户外休闲家具及用品。,2017-03-31,3622354267.77
999,002490.XSHE,002490,XSHE,3,中小板,CNY,*ST墨龙,山东墨龙石油机械股份有限公司,L,2010-10-21,,A,沪深A股,CHN,33283,797848500.0,549517700.0,293391300.0,山东省寿光市文圣街999号,设计、制造及销售抽油机、抽油杆、抽油泵、油管、套管及相关石油钻采机械配件。,2017-03-31,1832174385.63
1000,002491.XSHE,002491,XSHE,3,中小板,CNY,通鼎互联,通鼎互联信息股份有限公司,L,2010-10-21,,A,沪深A股,CHN,38589,1261709100.0,1154833900.0,1154833900.0,江苏省苏州市吴江区震泽镇八都经济开发区小平大道8号,市内通信电缆、光缆和铁路信号电缆的生产和销售。,2017-03-31,4192407647.53
1001,002492.XSHE,002492,XSHE,3,中小板,CNY,恒基达鑫,珠海恒基达鑫国际化工仓储股份有限公司,L,2010-11-02,,A,沪深A股,CHN,37369,405000000.0,353129800.0,353129800.0,广东省珠海市高栏港经济区南迳湾,液体石化产品的码头装卸及仓储业务。,2017-03-31,1188422150.02
1002,002493.XSHE,002493,XSHE,3,中小板,CNY,荣盛石化,荣盛石化股份有限公司,L,2010-11-02,,A,沪深A股,CHN,38588,3816000000.0,3417222000.0,3417222000.0,浙江省杭州市萧山区益农镇浙江荣盛控股集团大楼,PTA、聚酯纤维相关产品的生产和销售,2017-03-31,15369664419.0
1003,002494.XSHE,002494,XSHE,3,中小板,CNY,华斯股份,华斯控股股份有限公司,L,2010-11-02,,A,沪深A股,CHN,38708,385560800.0,257230600.0,257230600.0,河北省沧州市肃宁县尚村镇,主要从事裘皮服装、裘皮饰品、裘皮面料、裘皮皮张的生产与销售。,2017-03-31,2009193106.33
1004,002495.XSHE,002495,XSHE,3,中小板,CNY,佳隆股份,广东佳隆食品股份有限公司,L,2010-11-02,,A,沪深A股,CHN,38491,935625600.0,666111200.0,666111200.0,广东省普宁市池尾工业区上寮园256幢0138号,鸡粉、鸡精产品的研发、生产和销售,2017-03-31,1120310369.81
1005,002496.XSHE,002496,XSHE,3,中小板,CNY,辉丰股份,江苏辉丰农化股份有限公司,L,2010-11-09,,A,沪深A股,CHN,38018,1507477800.0,1023445400.0,1023445400.0,江苏省盐城市大丰区海洋经济开发区南区纬二路(王港闸南首),化学农药产品的研发、生产及销售,2017-03-31,4005875908.89
1006,002497.XSHE,002497,XSHE,3,中小板,CNY,雅化集团,四川雅化实业集团股份有限公司,L,2010-11-09,,A,沪深A股,CHN,38671,960000000.0,804654900.0,804654900.0,四川省成都市高新区天府四街66号航兴国际广场1号楼,民爆产品的生产、销售和爆破工程施工等,2017-03-31,2628862332.89
